!f:$UNITGRAPHS/xo.f
\Title ic063.0.rds.OP.trl 230 to 321 Binoc
#Preperiod 0.050, rate 0.00 +- 0.000  n = 48
none = 0
\label i=2 te=L 0.44148595505618 +- 0.0708852778297298 R 0.44148595505618 +- 0.0708852778297298
\xy-e
-13.0100 0.00 4 0.00
-11.0100 5.71 4 2.61
-10.0100 6.43 4 2.44
-9.0100 32.15 8 6.91
-8.0100 60.95 3 14.03
-7.0100 89.29 8 9.21
-6.0100 120.00 4 9.26
-5.0100 163.21 8 4.20
-4.0100 139.29 4 8.20
-3.0100 122.54 9 12.25
-2.0100 33.57 4 5.99
-1.0100 24.90 7 5.35
-0.0100 7.43 5 2.49
0.9900 2.86 4 2.02
2.9900 0.57 5 0.57
\label i=3 te=Blank \2_
\xy-e--
-5.0100 3.57 8 2.14
\yax 0 170
\xax -13.01 2.99
\label i=1 te=n=3 - 9 NOBACK wi=0.98 or=120.00Ro=120sl=1
