!f:$UNITGRAPHS/xo.f
\Title ic150.0.rds.XP.trl 119 to 211 Binoc
#Preperiod 0.050, rate 15.24 +- 1.000  n = 42
none = 0
\xy-e
-14.2300 22.29 5 3.43
-12.2300 23.57 4 2.44
-12.0000 23.81 6 3.51
-10.2300 31.43 4 3.09
-9.0000 40.71 4 8.84
-8.2300 36.43 4 3.17
-6.2300 40.71 4 3.76
-6.0000 32.00 5 3.98
-4.2300 31.43 4 3.09
-3.0000 47.86 4 6.21
-2.2300 32.15 4 0.72
-0.2300 35.24 3 4.76
0.0000 37.86 4 5.39
1.7700 36.43 4 6.11
3.0000 32.85 4 2.47
6.0000 25.71 4 2.02
9.0000 19.29 4 5.39
12.0000 29.52 3 12.81
\label i=2 te=Blank \2_
\xy-e--
0.0000 16.07 8 3.74
\yax 0 50
\xax -14.23 12.00
\label i=1 te=n=3 - 8 NOBACK wi=2.01 or=90.00Ro=5sl=1
