!f:$UNITGRAPHS/xo.f
\Title ic083.0.rds.OP.trl 329 to 443 Binoc
#Preperiod 0.050, rate 5.88 +- 0.000  n = 51
none = 0
\label i=2 te=L 1.31657373737374 +- 0.0789108824209917 R 1.31657373737374 +- 0.0789108824209917
\xy-e
-7.0500 9.71 5 3.21
-5.0600 21.14 5 3.45
-3.0500 42.86 5 3.62
-1.5500 60.00 2 2.86
-1.0500 77.86 4 2.95
-0.0500 88.57 2 2.86
0.1300 113.33 3 9.67
0.9500 115.01 4 4.99
1.4500 115.71 2 1.43
1.6300 139.06 3 5.05
2.9500 119.99 6 6.04
3.1300 120.95 3 4.15
4.4500 120.00 2 5.71
4.6300 129.52 3 9.67
4.9500 119.29 4 3.93
5.9500 118.57 2 7.14
6.1300 112.37 3 0.96
6.9500 126.67 3 2.52
7.4500 111.43 1 0.00
7.6300 99.06 3 8.30
8.9500 91.43 7 4.50
9.1300 79.05 3 8.30
10.6300 68.57 1 0.00
10.9500 82.14 4 5.52
12.1300 62.85 4 2.34
12.9500 56.00 5 7.09
\label i=3 te=Blank \2_
\xy-e--
2.9500 10.29 10 2.30
\yax 0 140
\xax -7.05 12.95
\label i=1 te=n=1 - 10 NOBACK wi=3.00 or=-45.00Ro=-45sl=1
